Country,Clicks,Impressions,CTR,Position
United States,16,1753,0.91%,51.8
Philippines,3,12,25%,7.42
India,1,17,5.88%,51.59
Pakistan,1,2,50%,22.5
United Kingdom,0,13,0%,19.23
Germany,0,8,0%,27.5
Mexico,0,4,0%,23.75
Italy,0,4,0%,68.5
Brazil,0,3,0%,29
South Korea,0,2,0%,19
Bulgaria,0,2,0%,34
Argentina,0,2,0%,37
Switzerland,0,2,0%,42
Ireland,0,2,0%,52
Canada,0,1,0%,9
Saudi Arabia,0,1,0%,9
Czechia,0,1,0%,10
Malaysia,0,1,0%,11
Sweden,0,1,0%,11
Peru,0,1,0%,12
Australia,0,1,0%,31
Uzbekistan,0,1,0%,37
France,0,1,0%,50
Ukraine,0,1,0%,58
Vietnam,0,1,0%,60
Jordan,0,1,0%,69
