# ----------------------------------------
# Reports snapshot
# Account: rippleroofs.com
# Property: rippleroofs.com
# ----------------------------------------
#  
# Start date: 20251017
# End date: 20251113
Active users,New users,Average engagement time per active user,Event count
17,25,43.1764705882353,164

#  
# Start date: 20251017
# End date: 20251113
Page title and screen class,Views,Active users,Event count,Bounce rate
Professional Roofing Services Austin & San Antonio | Certified Roofing Experts,20,9,64,1
Page Not Found | Ripple Roofing & Construction | Ripple Roofing & Construction,7,6,24,1
Contact Us - Get a Free Quote | Ripple Roofing & Construction,5,2,16,1
Residential Roofing in Central Texas | Ripple Roofing | Ripple Roofing & Construction,3,2,7,1
About Us - Premier Roofing Contractor in Central Texas | Ripple Roofing | Ripple Roofing & Construction,2,2,5,1
Insurance Claim Documentation in Central Texas | Ripple Roofing | Ripple Roofing & Construction,2,1,4,1
Roofing Blog & Resources | Ripple Roofing & Construction,2,1,2,1
"Roofing Company in Round Rock, TX | Ripple Roofing | Ripple Roofing & Construction",2,2,3,1
Cedar Park Neighborhood Roofing Guide: Best Materials & Costs by HOA | Ripple Roofing & Construction,1,1,3,1
Commercial Roofing in Central Texas: Complete Guide for Business Owners | Ripple Roofing & Construction,1,1,1,1
Emergency Services in Central Texas | Ripple Roofing | Ripple Roofing & Construction,1,1,1,1
Free Instant Roof Estimate | Ripple Roofing | Ripple Roofing & Construction,1,0,3,1
Free Roof Inspection Checklist | Ripple Roofing | Ripple Roofing & Construction,1,1,2,1
Frequently Asked Questions | Ripple Roofing & Construction,1,1,4,1
Ripple Roofing & Construction - Premium Roofing Services in Central Texas,1,0,5,1
Roof Maintenance Plans in Central Texas | Ripple Roofing | Ripple Roofing & Construction,1,0,3,1
Roof Replacement in Central Texas | Ripple Roofing | Ripple Roofing & Construction,1,1,2,1
Seasonal Guides | Roofing Blog | Ripple Roofing & Construction,1,1,1,1
Seasonal Roof Maintenance Calendar | Ripple Roofing | Ripple Roofing & Construction,1,0,3,1
Service Areas - Central Texas Roofing | Ripple Roofing | Ripple Roofing & Construction,1,1,1,1
Siding Installation & Repair in Central Texas | Ripple Roofing | Ripple Roofing & Construction,1,1,5,1
"Winter Roofing in Texas: Can You Replace Your Roof in December, January & February? | Ripple Roofing & Construction",1,1,1,1
Attic Ventilation & Insulation in Central Texas | Ripple Roofing | Ripple Roofing & Construction,0,1,2,1
How to File a Roof Insurance Claim in Texas: Complete Step-by-Step Guide | Ripple Roofing & Construction,0,1,1,1
Service Not Found | Ripple Roofing & Construction,0,1,1,1

#  
# Start date: 20251017
# End date: 20251113
First user source / medium,Active users
(direct) / (none),9
google / organic,2
facebook.com / referral,1

#  
# Start date: 20251017
# End date: 20251113
Session source / medium,Sessions
(direct) / (none),22
facebook.com / referral,2
google / organic,2
m.facebook.com / referral,1

#  
# Start date: 20251017
# End date: 20251113
Nth day,new
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,12

# How does activity on your platforms compare?
# Start date: 20251017
# End date: 20251113
Platform,Key events


#  
# Start date: 20251017
# End date: 20251113
City,Active users
Singapore,5
Lanzhou,4
Austin,3
Altoona,1
Amsterdam,1
Boardman,1
Dallas,1
Hyderabad,1
Los Angeles,1

#  
# Start date: 20251017
# End date: 20251113
Audience name,Active users
All Users,17
